date,value
2015-01-01,200
2015-02-01,180
2015-03-01,210
2015-04-01,190
2015-05-01,220
2015-06-01,230
2015-07-01,250
2015-08-01,240
2015-09-01,260
2015-10-01,270
2015-11-01,290
2015-12-01,310
2016-01-01,230
2016-02-01,220
2016-03-01,250
2016-04-01,240
2016-05-01,270
2016-06-01,280
2016-07-01,300
2016-08-01,290
2016-09-01,310
2016-10-01,320
2016-11-01,340
2016-12-01,360
2017-01-01,270
2017-02-01,260
2017-03-01,290
2017-04-01,280
2017-05-01,310
2017-06-01,320
2017-07-01,340
2017-08-01,330
2017-09-01,350
2017-10-01,360
2017-11-01,380
2017-12-01,400
2018-01-01,300
2018-02-01,290
2018-03-01,320
2018-04-01,310
2018-05-01,340
2018-06-01,350
2018-07-01,370
2018-08-01,360
2018-09-01,380
2018-10-01,390
2018-11-01,410
2018-12-01,430
2019-01-01,320
2019-02-01,310
2019-03-01,340
2019-04-01,330
2019-05-01,360
2019-06-01,370
2019-07-01,390
2019-08-01,380
2019-09-01,400
2019-10-01,410
2019-11-01,430
2019-12-01,450
2020-01-01,340
2020-02-01,330
2020-03-01,360
2020-04-01,350
2020-05-01,380
2020-06-01,390
2020-07-01,410
2020-08-01,400
2020-09-01,420
2020-10-01,430
2020-11-01,450
2020-12-01,470
date,value
2015-01-01,200
2015-02-01,180
2015-03-01,210
2015-04-01,190
2015-05-01,220
2015-06-01,230
2015-07-01,250
2015-08-01,240
2015-09-01,260
2015-10-01,270
2015-11-01,290
2015-12-01,310
2016-01-01,230
2016-02-01,220
2016-03-01,250
2016-04-01,240
2016-05-01,270
2016-06-01,280
2016-07-01,300
2016-08-01,290
2016-09-01,310
2016-10-01,320
2016-11-01,340
2016-12-01,360
2017-01-01,270
2017-02-01,260
2017-03-01,290
2017-04-01,280
2017-05-01,310
2017-06-01,320
2017-07-01,340
2017-08-01,330
2017-09-01,350
2017-10-01,360
2017-11-01,380
2017-12-01,400
2018-01-01,300
2018-02-01,290
2018-03-01,320
2018-04-01,310
2018-05-01,340
2018-06-01,350
2018-07-01,370
2018-08-01,360
2018-09-01,380
2018-10-01,390
2018-11-01,410
2018-12-01,430
2019-01-01,320
2019-02-01,310
2019-03-01,340
2019-04-01,330
2019-05-01,360
2019-06-01,370
2019-07-01,390
2019-08-01,380
2019-09-01,400
2019-10-01,410
2019-11-01,430
2019-12-01,450
2020-01-01,340
2020-02-01,330
2020-03-01,360
2020-04-01,350
2020-05-01,380
2020-06-01,390
2020-07-01,410
2020-08-01,400
2020-09-01,420
2020-10-01,430
2020-11-01,450
2020-12-01,470
